road,chainage,lat,lon,model_type,name,length,condition,id
N1,0.0,23.7060278,90.443333,source,Start of Road  after Jatrabari Flyover infront of filling station.,0.0,,1000000
N1,0.814,23.7029167,90.4504167,bridge,Box Culvert,0.814,A,1000001
N1,0.822,23.7027778,90.4504722,link,Intersection with Z1101,0.008000000000000007,,1000002
N1,1.0,23.7021389,90.4519722,link,Km post missing,0.17800000000000005,,1000003
N1,1.8,23.69873866,90.4588610799999,bridge,.,0.0,A,1000004
N1,2.0,23.6978886,90.4605833,link,Km post missing,1.0,,1000005
N1,2.13,23.6973608,90.4616667,bridge,Box culvert,0.1299999999999999,A,1000006
N1,3.0,23.693833,90.4691382,link,Km post missing,0.8700000000000001,,1000007
N1,4.0,23.6936108,90.4787771,link,Km post missing,1.0,,1000008
N1,4.175,23.6938052,90.4805271,link,Road to Narayanganj(R111),0.17499999999999982,,1000009
N1,4.925,23.6946638363636,90.4877749181818,bridge,.,3.125,A,1000010
N1,5.0,23.6947497,90.4884997,link,Km post missing,0.8250000000000002,,1000011
N1,6.0,23.6959163,90.4981941,link,Km post missing,1.0,,1000012
N1,7.0,23.697333,90.50775,link,Km post missing,1.0,,1000013
N1,7.181,23.6979163,90.5092778,link,"R110,Left to Demra, Right to Narayanganj",0.18100000000000005,,1000014
N1,8.0,23.7020556,90.5157222,link,Km post missing,0.819,,1000015
N1,8.011,23.7021111,90.5157778,bridge,Kachpur bridge,0.010999999999999233,A,1000016
N1,8.429,23.7045833,90.5188327,bridge,Bridge end,0.41800000000000104,A,1000017
N1,8.503,23.7050278,90.5193327,link,"Chittagong 251 km,Comilla 84 km",0.07399999999999984,,1000018
N1,8.763,23.7060833,90.5215271,link,Road to Sylhet (N2),0.2599999999999998,,1000019
N1,8.976,23.7050598925675,90.5232141463513,bridge,Kanch pur Bridge.,4.051000000000001,A,1000020
N1,9.503,23.7025278,90.5273882,link,Km post missing,0.7400000000000002,,1000022
N1,9.615,23.7015278,90.5281938,bridge,Box culvert,0.1120000000000001,A,1000023
N1,9.963,23.6998608,90.5307216,bridge,Box culvert,0.347999999999999,A,1000024
N1,10.377,23.6974163,90.5337774,bridge,Box culvert,0.4140000000000015,A,1000025
N1,10.503,23.6966386,90.5348052,link,Km post missing,0.12599999999999945,,1000026
N1,10.543,23.6964000869109,90.5350989801047,bridge,KATCHPUR BOX CULVERT,204.26399999999998,B,1000027
N1,10.88,23.6943906141361,90.5375740774869,bridge,NOYAPARA CULVERT,1.904,A,1000028
N1,10.885,23.6943608,90.5376108,bridge,Box culvert,0.3819999999999997,A,1000029
N1,10.897,23.6943023869158,90.5377073719626,bridge,ADUPUR CULVERT,0.01699999999999946,A,1000030
N1,11.296,23.6923601518691,90.5409183897196,bridge,NAYABARI KASPUR BOX CULVERT,0.39899999999999913,A,1000031
N1,11.313,23.6922774,90.5410552,bridge,Box culvert,0.4280000000000008,A,1000032
N1,11.497,23.6918052,90.5426108,link,"Chittagong 248 km,Comilla 81 km",0.18399999999999928,,1000033
N1,11.745,23.6911108,90.5448886,bridge,Bridge start,0.24799999999999933,A,1000034
N1,11.771,23.6910552,90.5451386,bridge,Bridge end,0.026000000000001577,A,1000035
N1,11.808,23.6909119315151,90.5454624957575,bridge,NAYABARI BOX CULVERT,1.2650000000000006,B,1000036
N1,11.936,23.6904163,90.546583,link,Right to Syedpur (R113) left to Joydebpur N105),0.16499999999999915,,1000037
N1,12.239,23.6884123260204,90.5485585290816,bridge,KHAS PARA BOX CULVERT,0.9430000000000014,A,1000038
N1,12.253,23.6883197331632,90.548649807653,bridge,DAWAN BAG BOX CULVERT,0.013999999999999346,A,1000039
N1,12.524,23.6865274,90.5504167,link,"Ctg 247 km,Comilla 80 km",0.5879999999999992,,1000040
N1,12.66,23.685583027027,90.551207981081,bridge,MADANPUR BRIDGE(L),0.0,A,1000041
N1,12.672,23.6854997,90.5512778,bridge,Box culvert,0.14800000000000146,A,1000044
N1,12.688,23.6853619779342,90.5513591765258,bridge,Madanpur Bridge(R),0.02800000000000047,A,1000045
N1,13.524,23.678166,90.5556111,link,Km post missing,0.8519999999999985,,1000046
N1,13.574,23.6778035,90.5558194349999,bridge,KAWTALA BOX CULVERT,0.8859999999999992,A,1000047
N1,14.524,23.670916,90.5597778,link,Km post missing,1.0,,1000048
N1,14.563,23.6705827,90.5599722,bridge,Box culvert,0.03900000000000148,A,1000049
N1,15.465,23.6633090696149,90.563856994797,bridge,MALIBAG BOX CULVERT,3.657,B,1000050
N1,15.524,23.6628333,90.5641111,link,Km post missing,0.9609999999999985,,1000051
N1,15.935,23.6604167,90.5671104,link,Road to MinanbariZ1061),0.41100000000000136,,1000052
N1,16.242,23.6591111,90.5697216,bridge,Langalbandhu bridge,0.3070000000000004,A,1000053
N1,16.402,23.6583056,90.5709993,bridge,Bridge end,0.16000000000000014,A,1000054
N1,16.524,23.6575,90.5719716,link,Km post missing,0.12199999999999989,,1000055
N1,16.831,23.6559722,90.5743327,bridge,Bridge start,0.3069999999999986,A,1000056
N1,16.852,23.6559167,90.5745271,bridge,Bridge end,0.021000000000000796,A,1000057
N1,17.134,23.6544257051136,90.576730225,bridge,LANGOLBANDO PC GIDER BRIDGE,1.6690000000000005,B,1000058
N1,17.204,23.6540556,90.5772771,bridge,Bridge start,0.3520000000000003,A,1000060
N1,17.222,23.65397226,90.57741042,bridge,Darikandi Bridge (L),0.0,A,1000062
N1,17.234,23.6539167,90.5774993,bridge,Bridge end,0.030000000000001137,A,1000063
N1,17.524,23.6525278,90.5798882,link,Km post missing,0.28999999999999915,,1000064
N1,17.722,23.6515705663716,90.5814943946902,bridge,DARIKANDI BRIDGE (L),0.0,B,1000066
N1,17.863,23.6508889,90.5826382,bridge,Bridge start,0.33899999999999864,A,1000067
N1,17.904,23.6506944,90.5829993,bridge,Bridge end,0.04100000000000037,A,1000068
N1,18.093,23.6497543993548,90.5845490085483,bridge,SONARKALI BRIDGE(L),0.37099999999999866,B,1000071
N1,18.524,23.6476108,90.588083,link,Km post missing,0.620000000000001,,1000073
N1,18.742,23.6459685949152,90.5892119813559,bridge,Mollik para Bridge(L),0.0,B,1000076
N1,18.878,23.6449441,90.5899163,bridge,Box culvert,0.3539999999999992,A,1000078
N1,19.521,23.6397497,90.5926941,bridge,Box culvert,0.6430000000000007,A,1000079
N1,19.524,23.6396941,90.5927219,link,Km post missing,0.0030000000000001137,,1000080
N1,19.76,23.6379543715384,90.5936673976923,bridge,KRIBORDI BOX CULVERT,1.6670000000000016,A,1000081
N1,20.044,23.6358608,90.5948052,link,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),0.5199999999999996,,1000082
N1,20.342,23.6341108,90.5970274,bridge,Bridge start,0.29799999999999827,A,1000083
N1,20.397,23.63380522,90.597394085,bridge,SHADIPUR BOX CULVERT,1.6549999999999976,B,1000084
N1,20.442,23.6335552,90.5976941,bridge,Bridge end,0.10000000000000142,A,1000085
N1,20.524,23.6330549,90.5982774,link,Km post missing,0.08200000000000074,,1000086
N1,21.184,23.6284668507692,90.6023015723077,bridge,Marikhali Bridge(L),1.4239999999999995,A,1000087
N1,21.499,23.6262771,90.6042222,bridge,Box culvert,0.9749999999999979,A,1000090
N1,21.629,23.6252216,90.6049722,link,"Ctg 238 km,Comilla 71 km",0.13000000000000256,,1000091
N1,21.765,23.6242216,90.6055278,bridge,Bridge start,0.13599999999999923,A,1000092
N1,21.993,23.6224993,90.6066944,bridge,Bridge end,0.22799999999999798,A,1000093
N1,22.252,23.6204716,90.6079722,bridge,Bridge start,0.25900000000000034,A,1000094
N1,22.328,23.6198832229508,90.6083528852459,bridge,SANGAKADI CULVERT,1.931000000000001,B,1000095
N1,22.374,23.6195271,90.6085833,bridge,Bridge end,0.12199999999999989,A,1000096
N1,22.596,23.6176407964705,90.6095506105882,bridge,Ashariarchar Bridge(L),0.0,B,1000099
N1,22.629,23.6173604,90.6096944,link,Km post missing,0.25500000000000256,,1000101
