Road;Scenario;Seed;Average_driving_time;Total_waiting_time;Average_waiting_time
N1;8;1234567;0;0;0
N1;8;1234567;0;0;0
N1;8;1234567;0;0;0
N1;8;1234567;0;0;0
N1;8;1234567;0;0;0
N1;8;1234567;0;0;0
N1;8;1234567;0;0;0
N1;8;1234567;0;1;0
N1;8;1234567;0;2;0
N1;8;1234567;0;3;0
N1;8;1234567;0;4;0
N1;8;1234567;0;5;0
N1;8;1234567;0;7;0
N1;8;1234567;0;9;0
N1;8;1234567;0;11;0
N1;8;1234567;0;13;0
N1;8;1234567;0;15;0
N1;8;1234567;0;18;0
N1;8;1234567;0;21;0
N1;8;1234567;0;24;0
N1;8;1234567;0;27;0
N1;8;1234567;0;30;0
N1;8;1234567;0;34;0
N1;8;1234567;0;38;0
N1;8;1234567;0;42;0
N1;8;1234567;0;46;0
N1;8;1234567;0;50;0
N1;8;1234567;0;55;0
N1;8;1234567;0;60;0
N1;8;1234567;0;65;0
N1;8;1234567;0;70;0
N1;8;1234567;0;75;0
N1;8;1234567;0;81;0
N1;8;1234567;0;87;0
N1;8;1234567;0;93;0
N1;8;1234567;0;99;0
N1;8;1234567;0;105;0
N1;8;1234567;0;112;0
N1;8;1234567;0;119;0
N1;8;1234567;0;126;0
N1;8;1234567;0;133;0
N1;8;1234567;0;140;0
N1;8;1234567;0;148;0
N1;8;1234567;0;156;0
N1;8;1234567;0;164;0
N1;8;1234567;0;172;0
N1;8;1234567;0;180;0
N1;8;1234567;0;189;0
N1;8;1234567;0;198;0
N1;8;1234567;0;207;0
N1;8;1234567;0;216;0
N1;8;1234567;0;225;0
N1;8;1234567;0;235;0
N1;8;1234567;0;245;0
N1;8;1234567;0;255;0
N1;8;1234567;0;265;0
N1;8;1234567;0;275;0
N1;8;1234567;0;286;0
N1;8;1234567;0;297;0
N1;8;1234567;0;308;0
N1;8;1234567;0;319;0
N1;8;1234567;0;330;0
N1;8;1234567;0;342;0
N1;8;1234567;0;354;0
N1;8;1234567;0;366;0
N1;8;1234567;0;378;0
N1;8;1234567;0;390;0
N1;8;1234567;0;403;0
N1;8;1234567;0;416;0
N1;8;1234567;0;429;0
N1;8;1234567;0;442;0
N1;8;1234567;0;455;0
N1;8;1234567;0;469;0
N1;8;1234567;0;483;0
N1;8;1234567;0;497;0
N1;8;1234567;0;511;0
N1;8;1234567;0;525;0
N1;8;1234567;0;540;0
N1;8;1234567;0;555;0
N1;8;1234567;0;570;0
N1;8;1234567;0;585;0
N1;8;1234567;0;600;0
N1;8;1234567;0;616;0
N1;8;1234567;0;632;0
N1;8;1234567;0;648;0
N1;8;1234567;0;664;0
N1;8;1234567;0;680;0
N1;8;1234567;0;697;0
N1;8;1234567;0;714;0
N1;8;1234567;0;731;0
N1;8;1234567;0;748;0
N1;8;1234567;0;765;0
N1;8;1234567;0;783;0
N1;8;1234567;0;801;0
N1;8;1234567;0;819;0
N1;8;1234567;0;837;0
N1;8;1234567;0;855;0
N1;8;1234567;0;874;0
N1;8;1234567;0;893;0
N1;8;1234567;0;912;0
N1;8;1234567;0;931;0
N1;8;1234567;0;950;0
N1;8;1234567;0;970;0
N1;8;1234567;0;990;0
N1;8;1234567;0;1010;0
N1;8;1234567;0;1030;0
N1;8;1234567;0;1050;0
N1;8;1234567;0;1071;0
N1;8;1234567;0;1092;0
N1;8;1234567;0;1113;0
N1;8;1234567;0;1134;0
N1;8;1234567;0;1155;0
N1;8;1234567;0;1177;0
N1;8;1234567;0;1199;0
N1;8;1234567;0;1221;0
N1;8;1234567;0;1243;0
N1;8;1234567;0;1265;0
N1;8;1234567;0;1288;0
N1;8;1234567;0;1311;0
N1;8;1234567;0;1334;0
N1;8;1234567;0;1357;0
N1;8;1234567;0;1380;0
N1;8;1234567;0;1404;0
N1;8;1234567;0;1428;0
N1;8;1234567;0;1452;0
N1;8;1234567;0;1476;0
N1;8;1234567;0;1500;0
N1;8;1234567;0;1525;0
N1;8;1234567;0;1550;0
N1;8;1234567;0;1575;0
N1;8;1234567;0;1599;0
N1;8;1234567;0;1623;0
N1;8;1234567;0;1648;0
N1;8;1234567;0;1673;0
N1;8;1234567;0;1698;0
N1;8;1234567;0;1723;0
N1;8;1234567;0;1748;0
N1;8;1234567;0;1775;0
N1;8;1234567;0;1802;0
N1;8;1234567;0;1829;0
N1;8;1234567;0;1856;0
N1;8;1234567;0;1883;0
N1;8;1234567;0;1910;0
N1;8;1234567;0;1937;0
N1;8;1234567;0;1964;0
N1;8;1234567;0;1991;0
N1;8;1234567;0;2018;0
N1;8;1234567;0;2046;0
N1;8;1234567;0;2073;0
N1;8;1234567;0;2100;0
N1;8;1234567;0;2127;0
N1;8;1234567;0;2154;0
N1;8;1234567;0;2182;0
N1;8;1234567;0;2209;0
N1;8;1234567;0;2236;0
N1;8;1234567;0;2264;0
N1;8;1234567;0;2291;0
N1;8;1234567;0;2319;0
N1;8;1234567;0;2347;0
N1;8;1234567;0;2375;0
N1;8;1234567;0;2404;0
N1;8;1234567;0;2433;0
N1;8;1234567;0;2463;0
N1;8;1234567;0;2495;0
N1;8;1234567;0;2527;0
N1;8;1234567;0;2559;0
N1;8;1234567;0;2591;0
N1;8;1234567;0;2624;0
N1;8;1234567;0;2656;0
N1;8;1234567;0;2688;0
N1;8;1234567;0;2720;0
N1;8;1234567;0;2751;0
N1;8;1234567;0;2783;0
N1;8;1234567;0;2813;0
N1;8;1234567;0;2842;0
N1;8;1234567;0;2872;0
N1;8;1234567;0;2902;0
N1;8;1234567;0;2933;0
N1;8;1234567;0;2965;0
N1;8;1234567;0;2997;0
N1;8;1234567;0;3031;0
N1;8;1234567;0;3065;0
N1;8;1234567;0;3100;0
N1;8;1234567;0;3135;0
N1;8;1234567;0;3170;0
N1;8;1234567;0;3204;0
N1;8;1234567;0;3237;0
N1;8;1234567;0;3271;0
N1;8;1234567;0;3306;0
N1;8;1234567;0;3340;0
N1;8;1234567;0;3374;0
N1;8;1234567;0;3408;0
N1;8;1234567;0;3444;0
N1;8;1234567;0;3481;0
N1;8;1234567;0;3518;0
N1;8;1234567;0;3555;0
N1;8;1234567;0;3592;0
N1;8;1234567;0;3630;0
N1;8;1234567;0;3668;0
N1;8;1234567;0;3706;0
N1;8;1234567;0;3744;0
N1;8;1234567;0;3781;0
N1;8;1234567;0;3819;0
N1;8;1234567;0;3858;0
N1;8;1234567;0;3897;0
N1;8;1234567;0;3936;0
N1;8;1234567;0;3975;0
N1;8;1234567;0;4015;0
N1;8;1234567;0;4056;0
N1;8;1234567;0;4097;0
N1;8;1234567;0;4138;0
N1;8;1234567;0;4179;0
N1;8;1234567;0;4221;0
N1;8;1234567;0;4263;0
N1;8;1234567;0;4305;0
N1;8;1234567;0;4347;0
N1;8;1234567;0;4389;0
N1;8;1234567;0;4432;0
N1;8;1234567;0;4475;0
N1;8;1234567;0;4518;0
N1;8;1234567;0;4561;0
N1;8;1234567;0;4604;0
N1;8;1234567;0;4648;0
N1;8;1234567;0;4692;0
N1;8;1234567;0;4736;0
N1;8;1234567;0;4780;0
N1;8;1234567;0;4823;0
N1;8;1234567;0;4867;0
N1;8;1234567;0;4911;0
N1;8;1234567;0;4955;0
N1;8;1234567;0;4999;0
N1;8;1234567;0;5043;0
N1;8;1234567;0;5088;0
N1;8;1234567;0;5134;0
N1;8;1234567;0;5180;0
N1;8;1234567;0;5226;0
N1;8;1234567;0;5271;0
N1;8;1234567;0;5316;0
N1;8;1234567;0;5361;0
N1;8;1234567;0;5405;0
N1;8;1234567;0;5449;0
N1;8;1234567;0;5493;0
N1;8;1234567;0;5538;0
N1;8;1234567;0;5583;0
N1;8;1234567;0;5629;0
N1;8;1234567;0;5675;0
N1;8;1234567;0;5722;0
N1;8;1234567;0;5770;0
N1;8;1234567;0;5818;0
N1;8;1234567;0;5866;0
N1;8;1234567;0;5914;0
N1;8;1234567;0;5962;0
N1;8;1234567;0;6011;0
N1;8;1234567;0;6060;0
N1;8;1234567;0;6108;0
N1;8;1234567;0;6156;0
N1;8;1234567;0;6204;0
N1;8;1234567;0;6254;0
N1;8;1234567;0;6304;0
N1;8;1234567;0;6354;0
N1;8;1234567;0;6404;0
N1;8;1234567;0;6455;0
N1;8;1234567;0;6507;0
N1;8;1234567;0;6559;0
N1;8;1234567;0;6611;0
N1;8;1234567;0;6662;0
N1;8;1234567;0;6712;0
N1;8;1234567;0;6763;0
N1;8;1234567;0;6813;0
N1;8;1234567;0;6862;0
N1;8;1234567;0;6912;0
N1;8;1234567;0;6963;0
N1;8;1234567;0;7016;0
N1;8;1234567;0;7069;0
N1;8;1234567;0;7122;0
N1;8;1234567;0;7176;0
N1;8;1234567;0;7230;0
N1;8;1234567;0;7285;0
N1;8;1234567;0;7340;0
N1;8;1234567;0;7395;0
N1;8;1234567;0;7450;0
N1;8;1234567;0;7504;0
N1;8;1234567;0;7558;0
N1;8;1234567;0;7611;0
N1;8;1234567;0;7664;0
N1;8;1234567;0;7717;0
N1;8;1234567;0;7770;0
N1;8;1234567;0;7822;0
N1;8;1234567;0;7875;0
N1;8;1234567;0;7931;0
N1;8;1234567;0;7988;0
N1;8;1234567;0;8045;0
N1;8;1234567;0;8103;0
N1;8;1234567;0;8161;0
N1;8;1234567;0;8218;0
N1;8;1234567;0;8274;0
N1;8;1234567;0;8330;0
N1;8;1234567;0;8386;0
N1;8;1234567;0;8441;0
N1;8;1234567;0;8498;0
N1;8;1234567;0;8555;0
N1;8;1234567;0;8612;0
N1;8;1234567;0;8671;0
N1;8;1234567;0;8730;0
N1;8;1234567;0;8787;0
N1;8;1234567;0;8845;0
N1;8;1234567;0;8903;0
N1;8;1234567;0;8960;0
N1;8;1234567;0;9015;0
N1;8;1234567;0;9072;0
N1;8;1234567;0;9129;0
N1;8;1234567;0;9186;0
N1;8;1234567;0;9245;0
N1;8;1234567;0;9304;0
N1;8;1234567;0;9363;0
N1;8;1234567;0;9425;0
N1;8;1234567;0;9486;0
N1;8;1234567;0;9548;0
N1;8;1234567;0;9609;0
N1;8;1234567;0;9669;0
N1;8;1234567;0;9731;0
N1;8;1234567;0;9793;0
N1;8;1234567;0;9855;0
N1;8;1234567;0;9916;0
N1;8;1234567;0;9976;0
N1;8;1234567;0;10036;0
N1;8;1234567;0;10096;0
N1;8;1234567;0;10157;0
N1;8;1234567;0;10218;0
N1;8;1234567;0;10281;0
N1;8;1234567;0;10344;0
N1;8;1234567;0;10407;0
N1;8;1234567;0;10471;0
N1;8;1234567;0;10535;0
N1;8;1234567;0;10599;0
N1;8;1234567;0;10663;0
N1;8;1234567;0;10727;0
N1;8;1234567;0;10792;0
N1;8;1234567;0;10857;0
N1;8;1234567;0;10922;0
N1;8;1234567;0;10988;0
N1;8;1234567;0;11054;0
N1;8;1234567;0;11120;0
N1;8;1234567;0;11185;0
N1;8;1234567;0;11251;0
N1;8;1234567;0;11316;0
N1;8;1234567;0;11380;0
N1;8;1234567;0;11444;0
N1;8;1234567;0;11509;0
N1;8;1234567;0;11575;0
N1;8;1234567;0;11643;0
N1;8;1234567;0;11712;0
N1;8;1234567;0;11782;0
N1;8;1234567;0;11850;0
N1;8;1234567;0;11918;0
N1;8;1234567;0;11987;0
N1;8;1234567;0;12053;0
N1;8;1234567;0;12119;0
N1;8;1234567;0;12185;0
N1;8;1234567;0;12250;0
N1;8;1234567;0;12315;0
N1;8;1234567;0;12380;0
N1;8;1234567;0;12445;0
N1;8;1234567;0;12512;0
N1;8;1234567;0;12579;0
N1;8;1234567;0;12647;0
N1;8;1234567;0;12714;0
N1;8;1234567;0;12783;0
N1;8;1234567;0;12850;0
N1;8;1234567;0;12918;0
N1;8;1234567;0;12987;0
N1;8;1234567;0;13056;0
N1;8;1234567;0;13126;0
N1;8;1234567;0;13198;0
N1;8;1234567;0;13272;0
N1;8;1234567;0;13342;0
N1;8;1234567;0;13412;0
N1;8;1234567;0;13484;0
N1;8;1234567;0;13555;0
N1;8;1234567;0;13626;0
N1;8;1234567;0;13698;0
N1;8;1234567;0;13771;0
N1;8;1234567;0;13846;0
N1;8;1234567;0;13919;0
N1;8;1234567;0;13991;0
N1;8;1234567;0;14065;0
N1;8;1234567;0;14139;0
N1;8;1234567;0;14214;0
N1;8;1234567;0;14289;0
N1;8;1234567;0;14364;0
N1;8;1234567;0;14440;0
N1;8;1234567;0;14517;0
N1;8;1234567;0;14594;0
N1;8;1234567;0;14669;0
N1;8;1234567;0;14744;0
N1;8;1234567;0;14821;0
N1;8;1234567;0;14898;0
N1;8;1234567;0;14977;0
N1;8;1234567;0;15056;0
N1;8;1234567;0;15135;0
N1;8;1234567;0;15212;0
N1;8;1234567;0;15288;0
N1;8;1234567;0;15365;0
N1;8;1234567;0;15441;0
N1;8;1234567;0;15516;0
N1;8;1234567;0;15589;0
N1;8;1234567;0;15664;0
N1;8;1234567;0;15741;0
N1;8;1234567;0;15819;0
N1;8;1234567;0;15897;0
N1;8;1234567;0;15975;0
N1;8;1234567;0;16053;0
N1;8;1234567;0;16135;0
N1;8;1234567;0;16217;0
N1;8;1234567;0;16297;0
N1;8;1234567;0;16376;0
N1;8;1234567;0;16455;0
N1;8;1234567;0;16535;0
N1;8;1234567;0;16611;0
N1;8;1234567;0;16688;0
N1;8;1234567;0;16767;0
N1;8;1234567;0;16848;0
N1;8;1234567;0;16929;0
N1;8;1234567;0;17007;0
N1;8;1234567;0;17088;0
N1;8;1234567;0;17169;0
N1;8;1234567;0;17250;0
N1;8;1234567;0;17331;0
N1;8;1234567;0;17410;0
N1;8;1234567;0;17489;0
N1;8;1234567;0;17568;0
N1;8;1234567;0;17645;0
N1;8;1234567;0;17723;0
N1;8;1234567;0;17801;0
N1;8;1234567;0;17879;0
N1;8;1234567;0;17958;0
N1;8;1234567;0;18039;0
N1;8;1234567;0;18123;0
N1;8;1234567;0;18208;0
N1;8;1234567;0;18292;0
N1;8;1234567;0;18375;0
N1;8;1234567;0;18459;0
N1;8;1234567;0;18544;0
N1;8;1234567;0;18629;0
N1;8;1234567;0;18713;0
N1;8;1234567;0;18798;0
N1;8;1234567;0;18882;0
N1;8;1234567;0;18968;0
N1;8;1234567;0;19054;0
N1;8;1234567;0;19140;0
N1;8;1234567;0;19226;0
N1;8;1234567;0;19312;0
N1;8;1234567;0;19400;0
N1;8;1234567;0;19486;0
N1;8;1234567;0;19570;0
N1;8;1234567;0;19655;0
N1;8;1234567;0;19741;0
N1;8;1234567;0;19826;0
N1;8;1234567;0;19910;0
N1;8;1234567;0;19998;0
N1;8;1234567;0;20088;0
N1;8;1234567;0;20178;0
N1;8;1234567;0;20267;0
N1;8;1234567;0;20354;0
N1;8;1234567;0;20440;0
N1;8;1234567;0;20525;0
N1;8;1234567;0;20610;0
N1;8;1234567;0;20695;0
N1;8;1234567;0;20780;0
N1;8;1234567;0;20867;0
N1;8;1234567;0;20955;0
N1;8;1234567;0;21041;0
N1;8;1234567;0;21127;0
N1;8;1234567;0;21215;0
N1;8;1234567;0;21304;0
N1;8;1234567;0;21395;0
N1;8;1234567;0;21487;0
N1;8;1234567;0;21581;0
N1;8;1234567;0;21675;0
N1;8;1234567;0;21768;0
N1;8;1234567;0;21860;0
N1;8;1234567;0;21951;0
N1;8;1234567;0;22043;0
N1;8;1234567;0;22132;0
N1;8;1234567;0;22222;0
N1;8;1234567;0;22313;0
N1;8;1234567;0;22403;0
N1;8;1234567;0;22495;0
N1;8;1234567;0;22590;0
N1;8;1234567;0;22683;0
N1;8;1234567;0;22776;0
N1;8;1234567;0;22869;0
N1;8;1234567;0;22963;0
N1;8;1234567;0;23056;0
N1;8;1234567;0;23149;0
N1;8;1234567;0;23241;0
N1;8;1234567;0;23333;0
N1;8;1234567;0;23428;0
