road,name,chainage,condition,model_type,length,lat,lon
N1,.,1.8,A,bridge,0.0,23.69873866,90.4588610799999
N1,.,4.925,A,bridge,3.125,23.6946638363636,90.4877749181818
N1,Kanch pur Bridge.,8.976,A,bridge,4.051000000000001,23.7050598925675,90.5232141463513
N1,NOYAPARA CULVERT,10.88,A,bridge,1.904,23.6943906141361,90.5375740774869
N1,ADUPUR CULVERT,10.897,A,bridge,0.01699999999999946,23.6943023869158,90.5377073719626
N1,NAYABARI KASPUR BOX CULVERT,11.296,A,bridge,0.39899999999999913,23.6923601518691,90.5409183897196
N1,KHAS PARA BOX CULVERT,12.239,A,bridge,0.9430000000000014,23.6884123260204,90.5485585290816
N1,DAWAN BAG BOX CULVERT,12.253,A,bridge,0.013999999999999346,23.6883197331632,90.548649807653
N1,Madanpur Bridge.(L),12.66,A,bridge,0.40700000000000003,23.685583027027,90.551207981081
N1,MADAN PUR (R),12.66,A,bridge,0.0,23.685583027027,90.551207981081
N1,MADANPUR BRIDGE(L),12.66,A,bridge,0.0,23.685583027027,90.551207981081
N1,Madanpur Bridge(R),12.688,A,bridge,0.02800000000000047,23.6853619779342,90.5513591765258
N1,KAWTALA BOX CULVERT,13.574,A,bridge,0.8859999999999992,23.6778035,90.5558194349999
N1,Darikandi Bridge (R),17.222,A,bridge,3.6480000000000015,23.65397226,90.57741042
N1,Darikandi Bridge (L),17.222,A,bridge,0.0,23.65397226,90.57741042
N1,Sonakhal Bridge(L),18.093,A,bridge,0.8709999999999987,23.6497543993548,90.5845490085483
N1,KRIBORDI BOX CULVERT,19.76,A,bridge,1.6670000000000016,23.6379543715384,90.5936673976923
N1,Marikhali Bridge(L),21.184,A,bridge,1.4239999999999995,23.6284668507692,90.6023015723077
N1,Marikhali Bridge(R),21.184,A,bridge,0.0,23.6284668507692,90.6023015723077
N1,MARIKHALL BRIDGE,21.184,A,bridge,0.0,23.6284668507692,90.6023015723077
N1,ASHIR CHAR (Right),22.596,A,bridge,1.411999999999999,23.6176407964705,90.6095506105882
N1,Asharirchar-2 Bridge.(R),23.081,A,bridge,0.48499999999999943,23.613587384385,90.6109029561497
N1,Ashariachar-2 Bridge.(L),23.081,A,bridge,0.0,23.613587384385,90.6109029561497
N1,ASHARIR CHAR (L),23.081,A,bridge,0.0,23.613587384385,90.6109029561497
N1,Meghna Bridge,24.393,A,bridge,1.3120000000000012,23.6027595885583,90.6155316965675
N1,TATULTALA CULVERT,26.115,A,bridge,1.7219999999999978,23.5929818827893,90.6279699370919
N1,BAILAKANDI CULVERT,26.452,A,bridge,0.3370000000000033,23.5908088547468,90.6302368598101
N1,MALUAKANDI CULVEDRT,27.12,A,bridge,0.6679999999999993,23.58631812254,90.6345094207093
N1,Bhater char Bridge (L),28.315,A,bridge,1.1950000000000003,23.5779800248475,90.6419193089939
N1,Bhater char Bridge (R),28.315,A,bridge,0.0,23.5779800248475,90.6419193089939
N1,BHATIR CHAR BRIDGE,28.315,A,bridge,0.0,23.5779800248475,90.6419193089939
N1,Anarpara Bridge (L),29.138,A,bridge,0.8230000000000004,23.5716306256965,90.6454159236842
N1,Anarpara Bridge (R),29.138,A,bridge,0.0,23.5716306256965,90.6454159236842
N1,ANARPUR BRIDGE(R),29.138,A,bridge,0.0,23.5716306256965,90.6454159236842
N1,ANAR PURA BRIDGE(L),29.138,A,bridge,0.0,23.5716306256965,90.6454159236842
N1,VITIKANDA - ANAR PUR CULVERT,29.842,A,bridge,0.7039999999999971,23.5660033956521,90.6486237247282
N1,Alipur bridge(R),30.908,A,bridge,1.0660000000000025,23.5591910296296,90.6557475703703
N1,Alipur bridge(L),30.908,A,bridge,0.0,23.5591910296296,90.6557475703703
N1,ALI PURA P.C BRIDGE (RIGHT),30.908,A,bridge,0.0,23.5591910296296,90.6557475703703
N1,Bhaber char Bridge(R),31.472,A,bridge,0.5640000000000001,23.5557082901265,90.6597414245569
N1,Bhaber char Bridge(L),31.472,A,bridge,0.0,23.5557082901265,90.6597414245569
N1,VOBAR CHAR (L),31.472,A,bridge,0.0,23.5557082901265,90.6597414245569
N1,VOBAR CHAR BRIDGE(R),31.472,A,bridge,0.0,23.5557082901265,90.6597414245569
N1,Baushia Bridge(R),32.121,A,bridge,0.6490000000000009,23.5517421907216,90.6643538752577
N1,Baushia Bridge(L),32.121,A,bridge,0.0,23.5517421907216,90.6643538752577
N1,BOBARCHAR BRIDGE(L),32.121,A,bridge,0.0,23.5517421907216,90.6643538752577
N1,BOBAIRCHAR BRIDGE(R),32.121,A,bridge,0.0,23.5517421907216,90.6643538752577
N1,PURRANBUICHE BOX CULVERT,32.777,A,bridge,0.6559999999999988,23.5477377446428,90.6690554098214
N1,NOYAPARA,32.796,A,bridge,0.01899999999999835,23.5476246437499,90.669192065625
N1,Madhya Baushia Bridge(L),33.591,A,bridge,0.7950000000000017,23.54268543125,90.6748292125
N1,MADHAYA BAUSHIA BRIDGE(R),33.591,A,bridge,0.0,23.54268543125,90.6748292125
N1,MADHAYA BAUSHIA(L),33.591,A,bridge,0.0,23.54268543125,90.6748292125
N1,Madhya Baushia Bridge(R),33.591,A,bridge,0.0,23.54268543125,90.6748292125
N1,.,35.181,A,bridge,1.5899999999999963,23.5327751898617,90.6858701078341
N1,Baushia bazar Bridge( L ),35.408,A,bridge,0.22700000000000387,23.5313996605222,90.68744892596
N1,Baushia bazar Bridge ( R ),35.408,A,bridge,0.0,23.5313996605222,90.68744892596
N1,CHAR BOUSHEA (2),35.707,A,bridge,0.2989999999999995,23.5301519626506,90.6897951837349
N1,Daudkandi Bridge.,37.01,A,bridge,1.3029999999999973,23.5303844733,90.7024402743
N1,Ginlatoly bridge,48.384,A,bridge,11.374000000000002,23.5318234765,90.8110155135
N1,RAIPUR BOX CULVERT,50.558,A,bridge,2.1739999999999995,23.5329743291,90.8309774761999
N1,SONAPUR BOX CULVERT,63.538,A,bridge,12.979999999999997,23.5013551924,90.9473844088999
N1,MILL GHAT BOX CULVERT,68.04,A,bridge,4.5020000000000095,23.4932728146,90.9887200416
N1,NIMSHAR SLAB CULVERT,76.481,A,bridge,8.440999999999988,23.480613086,91.0674097692
N1,TIPRA BAZAR BOX CULVERT,82.437,A,bridge,5.956000000000003,23.4794083880733,91.1238920825688
N1,AMTOLI SLAB CULVERT,82.989,A,bridge,0.5520000000000067,23.479544924,91.129047144
N1,DHANPUR RCC GIDER BRIDGE,87.713,A,bridge,4.7239999999999895,23.4436339598272,91.1493668151188
N1,RAZAPARA RCC GIDER BRIDGE,97.257,A,bridge,9.544000000000011,23.3976518197887,91.2234221346859
N1,Suagazi Bridge.,100.938,A,bridge,3.6809999999999974,23.3713647755,91.2450175414999
N1,SUAGAZI RCC GIDER BRIDGE,100.938,A,bridge,0.0,23.3713647755,91.2450175414999
N1,CHANSIRI BOXCUIVERT,104.753,A,bridge,3.8149999999999977,23.342671472,91.264485636
