road,id,model_type,condition,name,lat,lon,length
N102,1000001,intersection,,Start of road from N1 Mainamati,23.4789716,91.1181938,0.0
N105,1000002,intersection,,"Starts of road from N1,Dhaka teknaf road at Madanpur.",23.6904163,90.5466108,0.0
N2,1000003,intersection,,Road Start from N1 at Katchpur,23.7059167,90.5214438,0.0
N204,1000004,intersection,,Road start from N2 at Jagannathganj.,24.1479163,91.3466108,0.0
N207,1000005,intersection,,Road start from N2 at Mirpur.,24.2948608,91.51025,0.0
N208,1000006,intersection,,Road Start from N207 infront of RHD,24.4713604,91.7655556,0.0
N1,1000000,sourcesink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0
N205,1000008,sourcesink,A,CHONDRI BOX CULVERT,24.8679099608695,91.8571907782608,0.022
N105,1000009,bridge,C,MODONPUR,23.6906082999999,90.5467174752,0.0020000000000000018
N107,1000010,sourcesink,A,KALURGHAT BRIDGE,22.3940423375404,91.89205737411,0.027999999999999997
N209,1000011,sourcesink,A,MENIKHOLA CULVERT,24.8787690823529,91.8753102964705,0.10400000000000001
N2,1000012,link,,Sylhet 230 km,23.7068889,90.5204716,0.010000000000000009
N207,1000013,link,,Pipe culvert,24.2964163,91.5120833,0.06
N102,1000014,link,,Box Culvert,23.4815827,91.1167771,0.10300000000000001
N104,1000015,bridge,A,Shasaugtachha culvert,23.009361697528,91.3961485620224,0.019999999999999962
N110,1000016,sourcesink,A,zilinza kali,21.4248318739473,92.0200220881578,0.02200000000000002
N107,1000017,bridge,B,Kalurghat Bridge-2,22.3916454389057,91.893384356231,0.01100000000000001
N104,1000019,bridge,B,S.S.SK ROAD SLAB CULVERT,23.0093022701123,91.3955118680898,0.034999999999999976
N104,1000020,link,,Box culvert,23.0092778,91.3952497,0.028000000000000025
N207,1000021,link,,Bridge Start,24.297583,91.5135278,0.01200000000000001
N207,1000022,bridge,B,Mirpur Bridge,24.2975653090909,91.5136515090909,0.013999999999999957
N106,1000024,sourcesink,C,TANARI BOTTOLA CULVERT,22.397475046875,91.8200368225,0.006000000000000005
N207,1000025,link,,Bridge end,24.2975552,91.5137222,0.0020000000000000018
N206,1000026,sourcesink,A,NOYAR PUL,24.8893233491071,91.8686945223214,0.05400000000000005
N204,1000027,link,,Box culvert,24.1483608,91.3513889,0.01200000000000001
N204,1000028,bridge,C,JOGIDISH PUR TEMORIA,24.1483513223529,91.3513885729411,0.0010000000000000009
N204,1000029,link,,Hobiganj 31 km,24.1475552,91.3513611,0.08399999999999996
N106,1000030,bridge,A,TANARI BOTTOLA CULVERT,22.3989996464285,91.8198128357142,0.01200000000000001
N208,1000031,bridge,A,RATAULI BOX CULVERT,24.47419518,91.770249575,0.008000000000000007
N204,1000032,bridge,A,Telaria Chara Bridge,24.1460274,91.3513056,0.15600000000000003
N1,1000035,link,,Box Culvert,23.7029167,90.4504167,0.007999999999999896
N106,1000036,bridge,C,TANARI BOX CULVERT,22.4004396252873,91.8193706183907,0.0040000000000000036
N1,1000037,link,,Intersection with Z1101,23.7027778,90.4504722,0.0040000000000000036
N110,1000038,bridge,A,JANAGONA B0X,21.4246159328227,92.0157343496717,0.0020000000000000018
N204,1000039,link,,Bridge end,24.1457219,91.3513056,0.02400000000000002
N108,1000040,sourcesink,A,SOUTH KAOCHIA RCC GIDER BRIDGE,22.1037427264108,92.0823783778781,0.03400000000000003
N208,1000042,bridge,A,NAYANAGAR BOX CULVERT,24.4753160084,91.7721055005,0.025000000000000022
N206,1000043,sourcesink,B,NAYAR PUL,24.8914311148571,91.8710064657142,0.02100000000000002
N110,1000044,bridge,A,DANARGONA,21.4245868307017,92.0146656903508,0.006000000000000005
N102,1000045,bridge,A,PORISPUR BOX CULVERT,23.4865823366366,91.1134175204204,0.04999999999999993
N102,1000046,link,,Box Culvert,23.4866663,91.1133611,0.01100000000000001
N208,1000047,link,,Km post missing,24.4757216,91.7727771,0.0050000000000000044
N204,1000053,bridge,C,UTTOR SUMA BRIDGE,24.1440821457446,91.351173349468,0.026999999999999913
N204,1000054,link,,Box culvert,24.1439997,91.3511667,0.009000000000000119
N209,1000055,sourcesink,A,CHANDNIGHAT CULVERT,24.8823611111111,91.8675277777777,0.038000000000000034
N105,1000056,bridge,A,MODONPUR COLLEGE,23.69915705,90.5514491,0.026000000000000023
N105,1000057,link,,Box culvert,23.6993052,90.5515278,0.020000000000000018
N2,1000058,link,,Sylhet 229 km,23.7151389,90.5168327,0.04599999999999982
N108,1000059,bridge,C,SOUTH KAOCHIA BRIES,22.1044565692307,92.0850637333333,0.02300000000000013
N208,1000062,bridge,B,BRIDGE OVER TURAG RIVER(L),24.4756387468852,91.7757850455737,0.11399999999999988
N208,1000063,link,,Box culvert,24.4756382,91.7758049,0.0020000000000000018
N110,1000064,bridge,A,HABIRADA,21.4259617425339,92.0103918832579,0.11699999999999999
N106,1000065,bridge,A,BALUCHARA,22.4059466,91.8186830923076,0.014000000000000012
N204,1000066,bridge,C,NOYAHADI CULVERT,24.1399384199152,91.3513269466101,0.05400000000000005
N204,1000067,link,,Box culvert,24.1397774,91.3513333,0.018000000000000016
N2,1000068,bridge,C,Jatramura Bridge,23.7180650594594,90.5157713121621,0.0029999999999998916
N207,1000070,link,,Bridge start,24.2958608,91.5238049,0.0040000000000000036
N207,1000071,bridge,C,BINAGOU,24.2958515333333,91.5238512,0.008000000000000007
N108,1000073,bridge,C,Montola-1 Bridge,22.1061120742331,92.0874945208589,0.008000000000000007
N2,1000075,link,,Bridge start,23.7182771,90.5156944,0.0050000000000001155
N207,1000076,link,,Bridge end,24.295833,91.5239438,0.0029999999999998916
N2,1000077,link,,Bridge end,23.7186104,90.5155556,0.037000000000000144
N204,1000078,link,,Km post missing,24.1386663,91.3514444,0.053999999999999826
N205,1000079,bridge,A,CHAMDIPUR BOX CULVERT,24.881841895238,91.8639277238095,0.09200000000000008
N110,1000080,bridge,A,THANAPARISHAD BOX,21.4270424155172,92.0073792982758,0.038000000000000034
N1,1000081,bridge,A,.,23.69873866,90.4588610799999,0.040000000000000036
N204,1000082,bridge,B,DOKHIR SHURMA CULVERT,24.137325874468,91.3515720851063,0.010000000000000009
N208,1000083,link,,Box Culvert,24.4757216,91.7757216,0.010000000000000009
N204,1000084,link,,Box culvert,24.1369163,91.3516111,0.04499999999999993
N104,1000085,link,,Right to Comilla Left to Chittagong,23.0095278,91.3814438,0.0129999999999999
N107,1000086,bridge,A,AFOLAHMED BRIDGE,22.3820119224043,91.9037775136612,0.039000000000000146
N1,1000087,link,,Km post missing,23.6978886,90.4605833,0.08299999999999996
N110,1000092,bridge,C,COXBAZAR STSND,21.4268429481481,92.0048950333333,0.028000000000000025
N105,1000093,link,,"Bangabandhu Bridge 128 km,Mymensingh 132 km",23.7055278,90.5576944,0.0259999999999998
N205,1000094,bridge,B,BARO KHULA BOX CULVERT,24.88475,91.8644999999999,0.0030000000000001137
N102,1000095,bridge,A,Brorechon,23.49375786875,91.1065069265625,0.002000000000000224
N102,1000096,link,,Box Culvert,23.4937774,91.1064722,0.004999999999999893
N1,1000097,link,,Box culvert,23.6973608,90.4616667,0.06599999999999984
N205,1000098,sourcesink,A,NEER KEEN BRIDGE,24.8851388888888,91.8648333333333,0.01200000000000001
N106,1000099,bridge,A,BALUCHARA,22.412053275,91.8185294333333,0.0009999999999998899
N2,1000100,link,,Km post missing,23.723666,90.5136667,0.02300000000000013
N108,1000101,bridge,A,Dostidar hat Bridge.,22.1095908700729,92.0937449810219,0.1160000000000001
N204,1000103,bridge,B,SURMA CULVERT,24.133010247826,91.3519830913043,0.02300000000000013
N2,1000104,link,,Road to Demra (R201),23.7249438,90.5134167,0.008000000000000007
N204,1000106,link,,Hobiganj 30 km,24.1328327,91.352,0.01200000000000001
N105,1000107,link,,Box culvert,23.7072222,90.5596389,0.010999999999999677
N208,1000108,bridge,A,PURBO SULTANPUR CULVERT,24.483871294499,91.7769872719057,0.009000000000000341
N102,1000109,bridge,A,SHABAR BAZAR,23.4963160192691,91.1059203910299,0.017999999999999794
N102,1000110,link,,Box Culvert,23.496333,91.1059167,0.002000000000000224
N208,1000112,link,,Bridge start,24.4852497,91.7766382,0.14399999999999968
N102,1000113,bridge,A,ZUMUR BOX CULVERT,23.4976150683871,91.1056026587096,0.002000000000000224
N102,1000114,link,,Box Culvert,23.4976941,91.1055833,0.008999999999999897
N106,1000115,bridge,C,Natunpara Bridge,22.4153754965425,91.8191481220744,0.0009999999999998899
N208,1000117,link,,Bridge end,24.4854163,91.7766104,0.004999999999999893
N108,1000118,bridge,D,Dostidar hat-2 Bridge.,22.1100096648888,92.0962011768888,0.016000000000000014
N104,1000120,bridge,C,PAZGACIA SLAB CULVERT,23.0098384198224,91.3741733526627,0.08800000000000008
N104,1000121,link,,Box culvert,23.0098611,91.3737216,0.04600000000000026
N207,1000122,bridge,C,NATUN BAZAR RCC GIRDER,24.2936824758118,91.5369584564389,0.20699999999999985
N207,1000124,link,,Bridge start,24.2936663,91.5370552,0.009999999999999787
N204,1000125,bridge,A,TELIAPERA SUBMARGE,24.1317018708333,91.3568863291666,0.002000000000000224
N207,1000126,link,,Bridge end,24.2936386,91.5372497,0.028999999999999915
