road,chainage,lrp,lat,lon,gap,type,name,is_intersection,model_type
N1,0.0,LRPS,23.7060278,90.443333,,Others,Start of Road  after Jatrabari Flyover infront of filling station.,True,intersection
N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,Box Culvert,False,nan
N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,Intersection with Z1101,True,intersection
N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,Km post missing,True,intersection
N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,Km post missing,True,intersection
N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,Box culvert,False,nan
N1,3.0,LRP003,23.693833,90.4691382,,KmPost,Km post missing,True,intersection
N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,Km post missing,True,intersection
N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",Road to Narayanganj(R111),False,nan
N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,Km post missing,True,intersection
N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,Km post missing,True,intersection
N1,7.0,LRP007,23.697333,90.50775,,KmPost,Km post missing,True,intersection
N1,7.181,LRP007a,23.6979163,90.5092778,,CrossRoad,"R110,Left to Demra, Right to Narayanganj",False,nan
N1,8.0,LRP008,23.7020556,90.5157222,,KmPost,Km post missing,True,intersection
N1,8.011,LRP008a,23.7021111,90.5157778,BS,Bridge,Kachpur bridge,False,nan
N1,8.429,LRP008b,23.7045833,90.5188327,BE,Bridge,Bridge end,False,nan
N1,8.503,LRP009,23.7050278,90.5193327,,KmPost,"Chittagong 251 km,Comilla 84 km",False,nan
N1,8.763,LRP009a,23.7060833,90.5215271,,"SideRoad,Left",Road to Sylhet (N2),False,nan
N1,9.503,LRP010,23.7025278,90.5273882,,KmPost,Km post missing,False,nan
N1,9.615,LRP010a,23.7015278,90.5281938,,Culvert,Box culvert,False,nan
N1,9.963,LRP010b,23.6998608,90.5307216,,Culvert,Box culvert,False,nan
N1,10.377,LRP010c,23.6974163,90.5337774,,Culvert,Box culvert,False,nan
N1,10.503,LRP011,23.6966386,90.5348052,,KmPost,Km post missing,False,nan
N1,10.885,LRP011a,23.6943608,90.5376108,,Culvert,Box culvert,False,nan
N1,11.313,LRP011b,23.6922774,90.5410552,,Culvert,Box culvert,False,nan
N1,11.497,LRP012,23.6918052,90.5426108,,KmPost,"Chittagong 248 km,Comilla 81 km",False,nan
N1,11.745,LRP012a,23.6911108,90.5448886,BS,Bridge,Bridge start,False,nan
N1,11.771,LRP012b,23.6910552,90.5451386,BE,Bridge,Bridge end,False,nan
N1,11.936,LRP012c,23.6904163,90.546583,,"SideRoad,Right",Right to Syedpur (R113) left to Joydebpur N105),False,nan
N1,12.524,LRP013,23.6865274,90.5504167,,KmPost,"Ctg 247 km,Comilla 80 km",False,nan
N1,12.672,LRP013a,23.6854997,90.5512778,,Culvert,Box culvert,False,nan
N1,13.524,LRP014,23.678166,90.5556111,,KmPost,Km post missing,False,nan
