start_node,end_node,link_no,name,length,total_traffic,traffic_score,betweenness_score,economic_score,criticality_score,criticality_rank
"89.3719438,24.9973886","89.3688882,25.0130556",N5-39,Chowkirghat Z5072-Mokamtala (Int.with Z5035),1.782,7064,0.08655802,1,0.444507361,0.724652816,1
"89.3688882,25.0130556","89.3688882,25.0169438",N5-40,Mokamtala (Int.with Z5035)-Mokamtala (Int.with R550),0.445,7064,0.08655802,0.992098332,0.444507361,0.721492149,2
"89.3688882,25.0169438","89.3689993,25.0240549",N5-41,Mokamtala (Int.with R550)-Kashipur (Mokamtala) Z5507,0.79,7064,0.08655802,0.982440737,0.444507361,0.717629111,3
"89.3689993,25.0240549","89.3872219,25.1363886",N5-42,"Kashipur (Mokamtala) Z5507-Gobindaganj, R585",12.785,7064,0.08655802,0.935030729,0.444507361,0.698665107,4
"89.3872219,25.1363886","89.3894441,25.1511111",N5-43,"Gobindaganj, R585 -Nakaihat, Z5554",1.655,7064,0.08655802,0.920983319,0.444507361,0.693046143,5
"89.3894441,25.1511111","89.3532222,25.2812493",N5-44,"Nakaihat, Z5554 -Palashbari R555",15.351,7064,0.08655802,0.905179982,0.444507361,0.686724809,6
"89.3494441,24.9501667","89.3719438,24.9973886",N5-38,Mohasthangar Z5505-Chowkirghat Z5072,5.933,7064,0.08655802,0.870061457,0.444507361,0.672677399,7
"89.3526944,24.880666","89.3601944,24.8889997",N5-36,Jhapgari (Bogra)Z5039-Matidali (bogra) N514,1.199,13120,0.160764612,0.868305531,0.369893293,0.635226699,8
"89.3506111,24.8583333","89.3526944,24.880666",N5-35,Int.with R545-Jhapgari (Bogra) Z5039,2.501,13120,0.160764612,0.864793679,0.369893293,0.633821958,9
"89.3470552,24.8418608","89.3506111,24.8583333",N5-34,Int. with N510-Int.with R545,1.858,13120,0.160764612,0.8595259,0.369893293,0.631714846,10
"89.3625,24.8219438","89.3470552,24.8418608",N5-33,Bogra Station Rd. (N502)-Int. with N510,2.86,13120,0.160764612,0.852502195,0.369893293,0.628905364,11
"89.3797216,24.815","89.3625,24.8219438",N5-32,Int. with N514-Bogra Station Rd. (N502),1.932,13120,0.160764612,0.843722564,0.369893293,0.625393512,12
"89.3824993,24.8083333","89.3797216,24.815",N5-31,Banani (Bogra) )Z5040 -Int. with N514,0.79,13120,0.160764612,0.833187006,0.369893293,0.621179289,13
"89.3837497,24.8058889","89.3824993,24.8083333",N5-30,"Int.with N515,Sultanganj -Banani (Bogra)Z5040",0.33,13120,0.160764612,0.820895522,0.369893293,0.616262695,14
