link_no,name,length,traffic,criticality,start_node,end_node,start_betweenness,end_betweenness,avg_betweenness,traffic_weight
N1-1R,Jatrabari - Int.with Z1101 (Left) (Right),0.822,21537.0,3.6363515048718212e-06,LRPS_0,LRPS_822,0.0,2.3323167176346466e-05,1.1661583588173233e-05,0.3118231308275902
Z8607-1,Naria-Shaora,9.358,3912.0,0.0,LRPS_0,LRPE_0,0.0,0.0,0.0,0.05663983320785313
N102-1,Mainamati-Kangsanagar (Intersection with Z1219),10.206,9708.0,1.9283749940209946e-07,LRPS_0,LRP009_1110,0.0,2.7439020207466433e-06,1.3719510103733216e-06,0.14055713210169687
N104-1,Feni (Trank Road)-Feni (Mohipal Chourasta) Int. with N1,1.878,9385.0,2.097241886459406e-07,LRPS_0,LRPS_1878,0.0,3.0868897733399737e-06,1.5434448866699869e-06,0.13588058145595644
N105-1,"Madanpur (13th km of N1)-Nayapur, Bostail (Int.with R114)",6.309,14904.0,1.8503103697265726e-07,LRPS_0,LRP006_181,0.0,1.714938762966652e-06,8.57469381483326e-07,0.21578734001274108
N106-1,Chittagong (Oxygen More)-Hathazari (Int. with R160),12.192,17792.0,3.092392038207545e-07,LRPS_0,LRP010_2084,0.0,2.400914268153313e-06,1.2004571340766564e-06,0.2576012046099496
N107-1,Kalurghat-Int.with Z1065,2.957,5666.0,2.813703315853666e-08,LRPS_0,LRP002_939,0.0,6.859755051866608e-07,3.429877525933304e-07,0.08203509584757052
N109-1,Ramu Hospital-Int.with Z1009,1.585,5533.0,1.3738281368353632e-08,LRPS_0,LRP001_640,0.0,3.429877525933304e-07,1.714938762966652e-07,0.08010945734638328
N110-1,Link Road (Cox Bazar)-Int with R180,1.89,6275.0,0.0,LRPS_0,LRPS_1890,0.0,0.0,0.0,0.09085249319511206
N111-1,Kalusha Majar- Chittagong Port,12.66,6275.0,0.0,LRPS_0,LRP010_2620,0.0,0.0,0.0,0.09085249319511206
N112-1,Panchgachia (int.with N104) - Int.with N1,1.22,6275.0,0.0,LRPS_0,LRPS_1220,0.0,0.0,0.0,0.09085249319511206
N119-1,Int with N1-Int with N1,2.85,5533.0,0.0,LRPS_0,LRPS_2850,0.0,0.0,0.0,0.08010945734638328
N120-1,Alekhar Char(int.with N1)-Chapapur(int.with Z1052),9.34,6275.0,1.5580646229246164e-08,LRPS_0,LRPS_9340,0.0,3.429877525933304e-07,1.714938762966652e-07,0.09085249319511206
N123-1,Bariyerhat-Joraganj (Int.with Z1084),4.65,0.0,0.0,LRPS_0,LRP004_1320,0.0,0.0,0.0,0.0
