Road;Scenario;Seed;Average_driving_time;Total_waiting_time;Average_waiting_time
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;0;0.0
N1;7;1234567;0.0;1;0.0
N1;7;1234567;0.0;2;0.0
N1;7;1234567;0.0;3;0.0
N1;7;1234567;0.0;4;0.0
N1;7;1234567;0.0;5;0.0
N1;7;1234567;0.0;7;0.0
N1;7;1234567;0.0;9;0.0
N1;7;1234567;0.0;11;0.0
N1;7;1234567;0.0;13;0.0
N1;7;1234567;0.0;15;0.0
N1;7;1234567;0.0;18;0.0
N1;7;1234567;0.0;21;0.0
N1;7;1234567;0.0;24;0.0
N1;7;1234567;0.0;27;0.0
N1;7;1234567;0.0;30;0.0
N1;7;1234567;0.0;34;0.0
N1;7;1234567;0.0;38;0.0
N1;7;1234567;0.0;42;0.0
N1;7;1234567;0.0;46;0.0
N1;7;1234567;0.0;50;0.0
N1;7;1234567;0.0;55;0.0
N1;7;1234567;0.0;60;0.0
N1;7;1234567;0.0;65;0.0
N1;7;1234567;0.0;70;0.0
N1;7;1234567;0.0;75;0.0
N1;7;1234567;0.0;81;0.0
N1;7;1234567;0.0;87;0.0
N1;7;1234567;0.0;93;0.0
N1;7;1234567;0.0;99;0.0
N1;7;1234567;0.0;105;0.0
N1;7;1234567;0.0;112;0.0
N1;7;1234567;0.0;119;0.0
N1;7;1234567;0.0;126;0.0
N1;7;1234567;0.0;133;0.0
N1;7;1234567;0.0;140;0.0
N1;7;1234567;0.0;148;0.0
N1;7;1234567;0.0;156;0.0
N1;7;1234567;0.0;164;0.0
N1;7;1234567;0.0;172;0.0
N1;7;1234567;0.0;180;0.0
N1;7;1234567;0.0;189;0.0
N1;7;1234567;0.0;198;0.0
N1;7;1234567;0.0;207;0.0
N1;7;1234567;0.0;216;0.0
N1;7;1234567;0.0;225;0.0
N1;7;1234567;0.0;235;0.0
N1;7;1234567;0.0;245;0.0
N1;7;1234567;0.0;255;0.0
N1;7;1234567;0.0;265;0.0
N1;7;1234567;0.0;275;0.0
N1;7;1234567;0.0;286;0.0
N1;7;1234567;0.0;297;0.0
N1;7;1234567;0.0;308;0.0
N1;7;1234567;0.0;319;0.0
N1;7;1234567;0.0;330;0.0
N1;7;1234567;0.0;342;0.0
N1;7;1234567;0.0;354;0.0
N1;7;1234567;0.0;366;0.0
N1;7;1234567;0.0;378;0.0
N1;7;1234567;0.0;390;0.0
N1;7;1234567;0.0;403;0.0
N1;7;1234567;0.0;416;0.0
N1;7;1234567;0.0;429;0.0
N1;7;1234567;0.0;442;0.0
N1;7;1234567;0.0;455;0.0
N1;7;1234567;0.0;469;0.0
N1;7;1234567;0.0;483;0.0
N1;7;1234567;0.0;497;0.0
N1;7;1234567;0.0;511;0.0
N1;7;1234567;0.0;525;0.0
N1;7;1234567;0.0;540;0.0
N1;7;1234567;0.0;555;0.0
N1;7;1234567;0.0;570;0.0
N1;7;1234567;0.0;585;0.0
N1;7;1234567;0.0;600;0.0
N1;7;1234567;0.0;616;0.0
N1;7;1234567;0.0;632;0.0
N1;7;1234567;0.0;648;0.0
N1;7;1234567;0.0;664;0.0
N1;7;1234567;0.0;680;0.0
N1;7;1234567;0.0;697;0.0
N1;7;1234567;0.0;714;0.0
N1;7;1234567;0.0;731;0.0
N1;7;1234567;0.0;748;0.0
N1;7;1234567;0.0;765;0.0
N1;7;1234567;0.0;783;0.0
N1;7;1234567;0.0;801;0.0
N1;7;1234567;0.0;819;0.0
N1;7;1234567;0.0;837;0.0
N1;7;1234567;0.0;855;0.0
N1;7;1234567;0.0;874;0.0
N1;7;1234567;0.0;893;0.0
N1;7;1234567;0.0;912;0.0
N1;7;1234567;0.0;931;0.0
N1;7;1234567;0.0;950;0.0
N1;7;1234567;0.0;970;0.0
N1;7;1234567;0.0;990;0.0
N1;7;1234567;0.0;1010;0.0
N1;7;1234567;0.0;1030;0.0
N1;7;1234567;0.0;1050;0.0
N1;7;1234567;0.0;1071;0.0
N1;7;1234567;0.0;1092;0.0
N1;7;1234567;0.0;1113;0.0
N1;7;1234567;0.0;1134;0.0
N1;7;1234567;0.0;1155;0.0
N1;7;1234567;0.0;1177;0.0
N1;7;1234567;0.0;1199;0.0
N1;7;1234567;0.0;1221;0.0
N1;7;1234567;0.0;1243;0.0
N1;7;1234567;0.0;1265;0.0
N1;7;1234567;0.0;1288;0.0
N1;7;1234567;0.0;1311;0.0
N1;7;1234567;0.0;1333;0.0
N1;7;1234567;0.0;1355;0.0
N1;7;1234567;0.0;1377;0.0
N1;7;1234567;0.0;1400;0.0
N1;7;1234567;0.0;1423;0.0
N1;7;1234567;0.0;1446;0.0
N1;7;1234567;0.0;1469;0.0
N1;7;1234567;0.0;1491;0.0
N1;7;1234567;0.0;1515;0.0
N1;7;1234567;0.0;1539;0.0
N1;7;1234567;0.0;1562;0.0
N1;7;1234567;0.0;1585;0.0
N1;7;1234567;0.0;1608;0.0
N1;7;1234567;0.0;1631;0.0
N1;7;1234567;0.0;1654;0.0
N1;7;1234567;0.0;1678;0.0
N1;7;1234567;0.0;1702;0.0
N1;7;1234567;0.0;1726;0.0
N1;7;1234567;0.0;1752;0.0
N1;7;1234567;0.0;1778;0.0
N1;7;1234567;0.0;1804;0.0
N1;7;1234567;0.0;1831;0.0
N1;7;1234567;0.0;1858;0.0
N1;7;1234567;0.0;1886;0.0
N1;7;1234567;0.0;1914;0.0
N1;7;1234567;0.0;1942;0.0
N1;7;1234567;0.0;1970;0.0
N1;7;1234567;0.0;1998;0.0
N1;7;1234567;0.0;2027;0.0
N1;7;1234567;0.0;2056;0.0
N1;7;1234567;0.0;2085;0.0
N1;7;1234567;0.0;2112;0.0
N1;7;1234567;0.0;2139;0.0
N1;7;1234567;0.0;2166;0.0
N1;7;1234567;0.0;2193;0.0
N1;7;1234567;0.0;2220;0.0
N1;7;1234567;0.0;2247;0.0
N1;7;1234567;0.0;2274;0.0
N1;7;1234567;0.0;2301;0.0
N1;7;1234567;0.0;2330;0.0
N1;7;1234567;0.0;2359;0.0
N1;7;1234567;0.0;2389;0.0
N1;7;1234567;0.0;2419;0.0
N1;7;1234567;0.0;2449;0.0
N1;7;1234567;0.0;2478;0.0
N1;7;1234567;0.0;2507;0.0
N1;7;1234567;0.0;2537;0.0
N1;7;1234567;0.0;2567;0.0
N1;7;1234567;0.0;2598;0.0
N1;7;1234567;0.0;2629;0.0
N1;7;1234567;0.0;2660;0.0
N1;7;1234567;0.0;2692;0.0
N1;7;1234567;0.0;2725;0.0
N1;7;1234567;0.0;2759;0.0
N1;7;1234567;0.0;2793;0.0
N1;7;1234567;0.0;2827;0.0
N1;7;1234567;0.0;2861;0.0
N1;7;1234567;0.0;2895;0.0
N1;7;1234567;0.0;2930;0.0
N1;7;1234567;0.0;2965;0.0
N1;7;1234567;0.0;3000;0.0
N1;7;1234567;0.0;3035;0.0
N1;7;1234567;0.0;3070;0.0
N1;7;1234567;0.0;3105;0.0
N1;7;1234567;0.0;3140;0.0
N1;7;1234567;0.0;3175;0.0
N1;7;1234567;0.0;3210;0.0
N1;7;1234567;0.0;3245;0.0
N1;7;1234567;0.0;3280;0.0
N1;7;1234567;0.0;3315;0.0
N1;7;1234567;0.0;3350;0.0
N1;7;1234567;0.0;3386;0.0
N1;7;1234567;0.0;3422;0.0
N1;7;1234567;0.0;3459;0.0
N1;7;1234567;0.0;3496;0.0
N1;7;1234567;0.0;3533;0.0
N1;7;1234567;0.0;3571;0.0
N1;7;1234567;0.0;3609;0.0
N1;7;1234567;0.0;3648;0.0
N1;7;1234567;0.0;3687;0.0
N1;7;1234567;0.0;3726;0.0
N1;7;1234567;0.0;3765;0.0
N1;7;1234567;0.0;3804;0.0
N1;7;1234567;0.0;3844;0.0
N1;7;1234567;0.0;3884;0.0
N1;7;1234567;0.0;3924;0.0
N1;7;1234567;0.0;3964;0.0
N1;7;1234567;0.0;4004;0.0
N1;7;1234567;0.0;4045;0.0
N1;7;1234567;0.0;4086;0.0
N1;7;1234567;0.0;4126;0.0
N1;7;1234567;0.0;4166;0.0
N1;7;1234567;0.0;4206;0.0
N1;7;1234567;0.0;4247;0.0
N1;7;1234567;0.0;4287;0.0
N1;7;1234567;0.0;4326;0.0
N1;7;1234567;0.0;4365;0.0
N1;7;1234567;0.0;4404;0.0
N1;7;1234567;0.0;4445;0.0
N1;7;1234567;0.0;4485;0.0
N1;7;1234567;0.0;4525;0.0
N1;7;1234567;0.0;4565;0.0
N1;7;1234567;0.0;4606;0.0
N1;7;1234567;0.0;4649;0.0
N1;7;1234567;0.0;4692;0.0
N1;7;1234567;0.0;4735;0.0
N1;7;1234567;0.0;4778;0.0
N1;7;1234567;0.0;4822;0.0
N1;7;1234567;0.0;4867;0.0
N1;7;1234567;0.0;4912;0.0
N1;7;1234567;0.0;4957;0.0
N1;7;1234567;0.0;5001;0.0
N1;7;1234567;0.0;5045;0.0
N1;7;1234567;0.0;5089;0.0
N1;7;1234567;0.0;5132;0.0
N1;7;1234567;0.0;5174;0.0
N1;7;1234567;0.0;5216;0.0
N1;7;1234567;0.0;5258;0.0
N1;7;1234567;0.0;5301;0.0
N1;7;1234567;0.0;5343;0.0
N1;7;1234567;0.0;5385;0.0
N1;7;1234567;0.0;5427;0.0
N1;7;1234567;0.0;5470;0.0
N1;7;1234567;0.0;5515;0.0
N1;7;1234567;0.0;5560;0.0
N1;7;1234567;0.0;5605;0.0
N1;7;1234567;0.0;5650;0.0
N1;7;1234567;0.0;5697;0.0
N1;7;1234567;0.0;5744;0.0
N1;7;1234567;0.0;5792;0.0
N1;7;1234567;0.0;5840;0.0
N1;7;1234567;0.0;5888;0.0
N1;7;1234567;0.0;5936;0.0
N1;7;1234567;0.0;5985;0.0
N1;7;1234567;0.0;6034;0.0
N1;7;1234567;0.0;6083;0.0
N1;7;1234567;0.0;6132;0.0
N1;7;1234567;0.0;6180;0.0
N1;7;1234567;0.0;6229;0.0
N1;7;1234567;0.0;6278;0.0
N1;7;1234567;0.0;6327;0.0
N1;7;1234567;0.0;6376;0.0
N1;7;1234567;0.0;6425;0.0
N1;7;1234567;0.0;6475;0.0
N1;7;1234567;0.0;6526;0.0
N1;7;1234567;0.0;6578;0.0
N1;7;1234567;0.0;6628;0.0
N1;7;1234567;0.0;6678;0.0
N1;7;1234567;0.0;6729;0.0
N1;7;1234567;0.0;6780;0.0
N1;7;1234567;0.0;6831;0.0
N1;7;1234567;0.0;6882;0.0
N1;7;1234567;0.0;6933;0.0
N1;7;1234567;0.0;6985;0.0
N1;7;1234567;0.0;7039;0.0
N1;7;1234567;0.0;7093;0.0
N1;7;1234567;0.0;7147;0.0
N1;7;1234567;0.0;7201;0.0
N1;7;1234567;0.0;7256;0.0
N1;7;1234567;0.0;7311;0.0
N1;7;1234567;0.0;7366;0.0
N1;7;1234567;0.0;7421;0.0
N1;7;1234567;0.0;7476;0.0
N1;7;1234567;0.0;7532;0.0
N1;7;1234567;0.0;7588;0.0
N1;7;1234567;0.0;7644;0.0
N1;7;1234567;0.0;7698;0.0
N1;7;1234567;0.0;7752;0.0
N1;7;1234567;0.0;7807;0.0
N1;7;1234567;0.0;7862;0.0
