road,id,model_type,condition,name,lat,lon,length
N1,1000000,sourcesink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0
N1,1000001,link,,Box Culvert,23.7029167,90.4504167,0.814
N1,1000002,intersection,,Intersection with Z1101,23.7027778,90.4504722,0.008000000000000007
N1,1000003,intersection,,Km post missing,23.7021389,90.4519722,0.17800000000000005
N1,1000004,bridge,A,.,23.69873866,90.4588610799999,0.8
N1,1000005,intersection,,Km post missing,23.6978886,90.4605833,0.19999999999999996
N1,1000006,link,,Box culvert,23.6973608,90.4616667,0.1299999999999999
N1,1000007,intersection,,Km post missing,23.693833,90.4691382,0.8700000000000001
N1,1000008,intersection,,Km post missing,23.6936108,90.4787771,1.0
N1,1000009,link,,Road to Narayanganj(R111),23.6938052,90.4805271,0.17499999999999982
N1,1000010,bridge,A,.,23.6946638363636,90.4877749181818,0.75
N1,1000011,intersection,,Km post missing,23.6947497,90.4884997,0.07500000000000018
N1,1000012,intersection,,Km post missing,23.6959163,90.4981941,1.0
N1,1000013,intersection,,Km post missing,23.697333,90.50775,1.0
N1,1000014,link,,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778,0.18100000000000005
N1,1000015,intersection,,Km post missing,23.7020556,90.5157222,0.819
N1,1000016,link,,Kachpur bridge,23.7021111,90.5157778,0.010999999999999233
N1,1000017,link,,Bridge end,23.7045833,90.5188327,0.41800000000000104
N1,1000018,link,,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,0.07399999999999984
N1,1000019,link,,Road to Sylhet (N2),23.7060833,90.5215271,0.2599999999999998
N1,1000020,bridge,A,Kanch pur Bridge.,23.7050598925675,90.5232141463513,0.21300000000000097
N1,1000021,bridge,C,KANCHPUR PC GIRDER BRIDGE,23.7050598925675,90.5232141463513,0.0
N1,1000022,link,,Km post missing,23.7025278,90.5273882,0.5269999999999992
N1,1000023,link,,Box culvert,23.7015278,90.5281938,0.1120000000000001
N1,1000024,link,,Box culvert,23.6998608,90.5307216,0.347999999999999
N1,1000025,link,,Box culvert,23.6974163,90.5337774,0.4140000000000015
N1,1000026,link,,Km post missing,23.6966386,90.5348052,0.12599999999999945
